,COUNTY,ROUTE_TYPE,ROUTE_NUMBER,ROUTE_SUFFIX,FINAL_ROUTE_TYPE
2942,6,MD,850,H,MD
2943,6,MD,850,K,MD
2949,10,MD,85,B,MD
2959,16,MD,200,(no suffix),MD
2960,16,MD,206,(no suffix),MD
2968,3,MD,129,(no suffix),MD
2972,9,MD,318,(no suffix),MD
2973,9,MD,392,(no suffix),MD
2978,17,MD,552,(no suffix),MD
2980,17,MD,835,K,MD
2985,2,IS,595,(no suffix),IS
3001,8,MD,382,G,MD
3012,15,RP,200,(no suffix),MD
3013,15,RP,200,A,MD
3014,2,US,50,(no suffix),US
3017,6,MD,800,D,MD
3018,6,MD,27,(no suffix),MD
3032,10,MD,871,G,MD
3034,10,MD,871,H,MD
3039,10,MD,806,N,MD
3062,2,MD,295,(no suffix),MD
3064,1,MD,36,(no suffix),MD
3074,6,MD,91,(no suffix),MD
3096,3,MD,139,(no suffix),MD
3097,2,MD,174,(no suffix),MD
3098,1,MD,51,D,MD
3117,15,MD,200,A,MD
3119,2,MD,915,A,MD
3156,3,MD,700,(no suffix),MD
3164,7,MD,7,D,MD
3209,1,MD,948,AQ,MD
3213,14,MD,20,(no suffix),MD
3215,15,US,29,A,US
3239,18,MD,238,(no suffix),MD
3244,2,MD,468,(no suffix),MD
3245,14,MD,298,(no suffix),MD
3249,20,US,50,(no suffix),US
3250,20,MD,322,(no suffix),MD
3251,20,MD,331,(no suffix),MD
3253,3,MD,137,(no suffix),MD
3271,20,MD,33,(no suffix),MD
3276,2,MD,3,BU,MD
3289,15,MD,655,A,MD
3294,2,MD,387,(no suffix),MD
3296,11,MD,826,A,MD
3298,16,MD,3,F,MD
3308,16,MD,193,A,MD
3316,16,MD,373,(no suffix),MD
3318,16,US,301,(no suffix),US
3323,12,MD,22,(no suffix),MD
3328,16,US,1,(no suffix),US
3333,16,MD,978,A,MD
3335,16,MD,450,B,MD
3339,15,MD,191,(no suffix),MD
3348,12,MD,543,(no suffix),MD
3352,15,MD,182,(no suffix),MD
3370,2,MD,995,A,MD
3379,17,MD,313,(no suffix),MD
3380,17,MD,290,(no suffix),MD
3381,1,MD,936,(no suffix),MD
3388,17,MD,405,(no suffix),MD
3393,16,MD,212,(no suffix),MD
3395,16,MD,430,(no suffix),MD
3397,13,MD,104,(no suffix),MD
3398,16,MD,810,K,MD
